pressure index,i_d index,thrust index,tank pressure,inner diameter,thrust,max_alt,dry_mass,mass_fins,mass_eng,mass_tank,mass_str,mass_avionics,Total_length (ft),total length,tank_length,str_length,Isp,outer diameter,CH4 thickness,LOX thickness,time to apogee,max_vel,max_Mach,max_acc,alt_max_vel,T2W,heat flux
4,1,3,550,5.25,900,43303,77.368,11.067,4.7218,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,212.26,5.5,0.125,0.125,54.002,576.34,1.7519,77.255,2901.7,190.61,1.0856
1,1,4,400,5.25,950,43305,77.581,11.067,4.9345,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,203.08,5.5,0.125,0.125,53.399,578.08,1.7539,80.879,2744.6,192.52,0.84192
1,2,4,400,5.5,950,43314,73.896,9.4594,4.9888,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,203.08,5.75,0.125,0.125,52.879,594.56,1.806,84.118,2840,190.42,0.83447
1,3,4,400,5.75,950,43318,70.862,8.2192,5.0536,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,203.08,6,0.125,0.125,52.08,606.9,1.8452,86.953,2918.2,187.98,0.82739
2,1,4,450,5.25,950,43322,77.482,11.067,4.8358,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,206.61,5.5,0.125,0.125,53.52,580.2,1.7606,81.473,2758.4,196.45,0.92501
2,2,4,450,5.5,950,43334,73.785,9.4594,4.8777,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,206.61,5.75,0.125,0.125,52.997,596.83,1.8132,84.764,2854.9,194.77,0.91682
2,3,4,450,5.75,950,43335,70.737,8.2192,4.929,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,206.61,6,0.125,0.125,52.193,609.27,1.8528,87.651,2934.1,192.74,0.90905
3,1,4,500,5.25,950,43345,77.417,11.067,4.7705,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,209.62,5.5,0.125,0.125,53.617,581.88,1.766,81.956,2769.5,199.14,1.0069
3,2,4,500,5.5,950,43348,73.711,9.4594,4.8045,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,209.62,5.75,0.125,0.125,53.091,598.59,1.8188,85.288,2866.9,197.73,0.998
3,3,4,500,5.75,950,43363,70.656,8.2192,4.8474,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,209.62,6,0.125,0.125,52.284,611.12,1.8587,88.214,2946.8,195.98,0.98954
4,1,4,550,5.25,950,43380,77.368,11.067,4.7218,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,212.26,5.5,0.125,0.125,53.699,583.27,1.7704,82.365,2778.8,201.2,1.0856
1,1,5,400,5.25,1000,43404,77.581,11.067,4.9345,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,203.08,5.5,0.125,0.125,53.126,584.39,1.7707,85.91,2633,202.65,0.84192
1,2,5,400,5.5,1000,43409,73.896,9.4594,4.9888,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,203.08,5.75,0.125,0.125,52.576,601.19,1.8236,89.32,2724.5,200.45,0.83447
